Postcode,SOS_Code,SOS_Name,SOS_Category,Urban_Rural
2529,13,Rural Balance,3.0,Rural
2530,13,Rural Balance,3.0,Rural
2533,13,Rural Balance,3.0,Rural
2534,13,Rural Balance,3.0,Rural
2535,13,Rural Balance,3.0,Rural
2536,13,Rural Balance,3.0,Rural
2537,13,Rural Balance,3.0,Rural
2538,13,Rural Balance,3.0,Rural
2539,13,Rural Balance,3.0,Rural
2540,13,Rural Balance,3.0,Rural
2541,11,Other Urban,1.0,Urban
2545,13,Rural Balance,3.0,Rural
2546,13,Rural Balance,3.0,Rural
2548,13,Rural Balance,3.0,Rural
2549,13,Rural Balance,3.0,Rural
2550,13,Rural Balance,3.0,Rural
2551,13,Rural Balance,3.0,Rural
2555,13,Rural Balance,3.0,Rural
2556,13,Rural Balance,3.0,Rural
2557,13,Rural Balance,3.0,Rural
2558,10,Major Urban,0.0,Urban
2559,10,Major Urban,0.0,Urban
2560,13,Rural Balance,3.0,Rural
2563,13,Rural Balance,3.0,Rural
2564,10,Major Urban,0.0,Urban
2565,10,Major Urban,0.0,Urban
2566,10,Major Urban,0.0,Urban
2567,10,Major Urban,0.0,Urban
2568,13,Rural Balance,3.0,Rural
2569,11,Other Urban,1.0,Urban
2570,13,Rural Balance,3.0,Rural
2571,13,Rural Balance,3.0,Rural
2572,13,Rural Balance,3.0,Rural
2573,11,Other Urban,1.0,Urban
2574,13,Rural Balance,3.0,Rural
2575,13,Rural Balance,3.0,Rural
2576,13,Rural Balance,3.0,Rural
2577,13,Rural Balance,3.0,Rural
2578,13,Rural Balance,3.0,Rural
2579,13,Rural Balance,3.0,Rural
2580,13,Rural Balance,3.0,Rural
2581,13,Rural Balance,3.0,Rural
2582,13,Rural Balance,3.0,Rural
2583,13,Rural Balance,3.0,Rural
2584,13,Rural Balance,3.0,Rural
2585,13,Rural Balance,3.0,Rural
2586,13,Rural Balance,3.0,Rural
2587,13,Rural Balance,3.0,Rural
2588,13,Rural Balance,3.0,Rural
2590,13,Rural Balance,3.0,Rural
2594,13,Rural Balance,3.0,Rural
2600,80,Major Urban,0.0,Urban
2601,83,Rural Balance,3.0,Rural
2602,80,Major Urban,0.0,Urban
2603,80,Major Urban,0.0,Urban
2604,80,Major Urban,0.0,Urban
2605,80,Major Urban,0.0,Urban
2606,80,Major Urban,0.0,Urban
2607,80,Major Urban,0.0,Urban
2609,80,Major Urban,0.0,Urban
2611,13,Rural Balance,3.0,Rural
2612,80,Major Urban,0.0,Urban
2614,80,Major Urban,0.0,Urban
2615,80,Major Urban,0.0,Urban
2617,80,Major Urban,0.0,Urban
2618,13,Rural Balance,3.0,Rural
2619,10,Major Urban,0.0,Urban
2620,83,Rural Balance,3.0,Rural
2621,13,Rural Balance,3.0,Rural
2622,13,Rural Balance,3.0,Rural
2623,13,Rural Balance,3.0,Rural
2624,13,Rural Balance,3.0,Rural
2625,12,Bounded Locality,2.0,Rural
2626,13,Rural Balance,3.0,Rural
2627,13,Rural Balance,3.0,Rural
2628,13,Rural Balance,3.0,Rural
2629,13,Rural Balance,3.0,Rural
2630,11,Other Urban,1.0,Urban
2631,13,Rural Balance,3.0,Rural
2632,13,Rural Balance,3.0,Rural
2633,13,Rural Balance,3.0,Rural
2640,13,Rural Balance,3.0,Rural
2641,11,Other Urban,1.0,Urban
2642,13,Rural Balance,3.0,Rural
2643,13,Rural Balance,3.0,Rural
2644,13,Rural Balance,3.0,Rural
2645,13,Rural Balance,3.0,Rural
2646,13,Rural Balance,3.0,Rural
2647,13,Rural Balance,3.0,Rural
2648,13,Rural Balance,3.0,Rural
2649,13,Rural Balance,3.0,Rural
2650,13,Rural Balance,3.0,Rural
2651,13,Rural Balance,3.0,Rural
2652,13,Rural Balance,3.0,Rural
2653,13,Rural Balance,3.0,Rural
2655,13,Rural Balance,3.0,Rural
2656,13,Rural Balance,3.0,Rural
2658,13,Rural Balance,3.0,Rural
2659,13,Rural Balance,3.0,Rural
2660,13,Rural Balance,3.0,Rural
2661,13,Rural Balance,3.0,Rural
2663,13,Rural Balance,3.0,Rural
2665,13,Rural Balance,3.0,Rural
2666,13,Rural Balance,3.0,Rural
2668,13,Rural Balance,3.0,Rural
2669,13,Rural Balance,3.0,Rural
2671,13,Rural Balance,3.0,Rural
2672,13,Rural Balance,3.0,Rural
2675,13,Rural Balance,3.0,Rural
2678,11,Other Urban,1.0,Urban
2680,13,Rural Balance,3.0,Rural
2681,13,Rural Balance,3.0,Rural
2700,13,Rural Balance,3.0,Rural
2701,13,Rural Balance,3.0,Rural
2702,13,Rural Balance,3.0,Rural
2703,13,Rural Balance,3.0,Rural
2705,13,Rural Balance,3.0,Rural
2706,13,Rural Balance,3.0,Rural
2707,13,Rural Balance,3.0,Rural
2710,13,Rural Balance,3.0,Rural
2711,13,Rural Balance,3.0,Rural
2712,13,Rural Balance,3.0,Rural
2713,13,Rural Balance,3.0,Rural
2714,13,Rural Balance,3.0,Rural
2715,13,Rural Balance,3.0,Rural
2716,13,Rural Balance,3.0,Rural
2717,13,Rural Balance,3.0,Rural
2720,13,Rural Balance,3.0,Rural
2721,13,Rural Balance,3.0,Rural
2722,13,Rural Balance,3.0,Rural
2725,13,Rural Balance,3.0,Rural
2726,13,Rural Balance,3.0,Rural
2727,13,Rural Balance,3.0,Rural
2729,13,Rural Balance,3.0,Rural
2730,13,Rural Balance,3.0,Rural
2731,13,Rural Balance,3.0,Rural
2732,13,Rural Balance,3.0,Rural
2733,13,Rural Balance,3.0,Rural
2734,13,Rural Balance,3.0,Rural
2735,13,Rural Balance,3.0,Rural
2736,13,Rural Balance,3.0,Rural
2737,13,Rural Balance,3.0,Rural
2738,13,Rural Balance,3.0,Rural
2739,21,Other Urban,1.0,Urban
2745,13,Rural Balance,3.0,Rural
2747,10,Major Urban,0.0,Urban
2748,13,Rural Balance,3.0,Rural
2749,13,Rural Balance,3.0,Rural
2750,10,Major Urban,0.0,Urban
2752,13,Rural Balance,3.0,Rural
2753,13,Rural Balance,3.0,Rural
2754,13,Rural Balance,3.0,Rural
2756,13,Rural Balance,3.0,Rural
2757,13,Rural Balance,3.0,Rural
2758,13,Rural Balance,3.0,Rural
2759,10,Major Urban,0.0,Urban
2760,10,Major Urban,0.0,Urban
2761,10,Major Urban,0.0,Urban
2762,10,Major Urban,0.0,Urban
2763,10,Major Urban,0.0,Urban
2765,10,Major Urban,0.0,Urban
2766,10,Major Urban,0.0,Urban
2767,10,Major Urban,0.0,Urban
2768,10,Major Urban,0.0,Urban
2769,10,Major Urban,0.0,Urban
2770,10,Major Urban,0.0,Urban
2773,10,Major Urban,0.0,Urban
2774,10,Major Urban,0.0,Urban
2775,13,Rural Balance,3.0,Rural
2776,10,Major Urban,0.0,Urban
2777,10,Major Urban,0.0,Urban
2778,13,Rural Balance,3.0,Rural
2779,11,Other Urban,1.0,Urban
2780,11,Other Urban,1.0,Urban
2782,11,Other Urban,1.0,Urban
2783,11,Other Urban,1.0,Urban
2784,11,Other Urban,1.0,Urban
2785,13,Rural Balance,3.0,Rural
2786,13,Rural Balance,3.0,Rural
2787,13,Rural Balance,3.0,Rural
2790,13,Rural Balance,3.0,Rural
2791,13,Rural Balance,3.0,Rural
2792,13,Rural Balance,3.0,Rural
2793,13,Rural Balance,3.0,Rural
2794,13,Rural Balance,3.0,Rural
2795,13,Rural Balance,3.0,Rural
2797,13,Rural Balance,3.0,Rural
2798,13,Rural Balance,3.0,Rural
2799,13,Rural Balance,3.0,Rural
2800,13,Rural Balance,3.0,Rural
2803,13,Rural Balance,3.0,Rural
2804,13,Rural Balance,3.0,Rural
2805,13,Rural Balance,3.0,Rural
2806,13,Rural Balance,3.0,Rural
2807,13,Rural Balance,3.0,Rural
2808,13,Rural Balance,3.0,Rural
2809,13,Rural Balance,3.0,Rural
2810,13,Rural Balance,3.0,Rural
2817,13,Rural Balance,3.0,Rural
2818,13,Rural Balance,3.0,Rural
2820,13,Rural Balance,3.0,Rural
2821,13,Rural Balance,3.0,Rural
2822,13,Rural Balance,3.0,Rural
2823,13,Rural Balance,3.0,Rural
2824,13,Rural Balance,3.0,Rural
2825,13,Rural Balance,3.0,Rural
2826,13,Rural Balance,3.0,Rural
2827,13,Rural Balance,3.0,Rural
2828,13,Rural Balance,3.0,Rural
2829,13,Rural Balance,3.0,Rural
2830,11,Other Urban,1.0,Urban
2831,13,Rural Balance,3.0,Rural
2832,13,Rural Balance,3.0,Rural
2833,13,Rural Balance,3.0,Rural
2834,13,Rural Balance,3.0,Rural
2835,13,Rural Balance,3.0,Rural
2836,13,Rural Balance,3.0,Rural
2838,13,Rural Balance,3.0,Rural
2839,13,Rural Balance,3.0,Rural
2840,13,Rural Balance,3.0,Rural
2842,13,Rural Balance,3.0,Rural
2843,13,Rural Balance,3.0,Rural
2844,13,Rural Balance,3.0,Rural
2845,13,Rural Balance,3.0,Rural
2846,13,Rural Balance,3.0,Rural
2847,11,Other Urban,1.0,Urban
2848,13,Rural Balance,3.0,Rural
2849,13,Rural Balance,3.0,Rural
2850,13,Rural Balance,3.0,Rural
2852,13,Rural Balance,3.0,Rural
2864,13,Rural Balance,3.0,Rural
2865,13,Rural Balance,3.0,Rural
2866,13,Rural Balance,3.0,Rural
2867,13,Rural Balance,3.0,Rural
2868,13,Rural Balance,3.0,Rural
2869,13,Rural Balance,3.0,Rural
2870,13,Rural Balance,3.0,Rural
2871,13,Rural Balance,3.0,Rural
2873,13,Rural Balance,3.0,Rural
2874,13,Rural Balance,3.0,Rural
2875,13,Rural Balance,3.0,Rural
2876,13,Rural Balance,3.0,Rural
2877,13,Rural Balance,3.0,Rural
2878,13,Rural Balance,3.0,Rural
2879,13,Rural Balance,3.0,Rural
2880,13,Rural Balance,3.0,Rural
2898,13,Rural Balance,3.0,Rural
2899,92,Bounded Locality,2.0,Rural
2900,80,Major Urban,0.0,Urban
2902,80,Major Urban,0.0,Urban
2903,80,Major Urban,0.0,Urban
2904,80,Major Urban,0.0,Urban
2905,80,Major Urban,0.0,Urban
2906,80,Major Urban,0.0,Urban
2911,80,Major Urban,0.0,Urban
2912,80,Major Urban,0.0,Urban
2913,80,Major Urban,0.0,Urban
2914,80,Major Urban,0.0,Urban
3000,20,Major Urban,0.0,Urban
3002,20,Major Urban,0.0,Urban
3003,20,Major Urban,0.0,Urban
3004,20,Major Urban,0.0,Urban
3006,20,Major Urban,0.0,Urban
3008,20,Major Urban,0.0,Urban
3011,20,Major Urban,0.0,Urban
3012,20,Major Urban,0.0,Urban
3013,20,Major Urban,0.0,Urban
3015,20,Major Urban,0.0,Urban
3016,20,Major Urban,0.0,Urban
3018,20,Major Urban,0.0,Urban
3019,20,Major Urban,0.0,Urban
3020,20,Major Urban,0.0,Urban
3021,20,Major Urban,0.0,Urban
3022,20,Major Urban,0.0,Urban
3023,20,Major Urban,0.0,Urban
3024,20,Major Urban,0.0,Urban
3025,20,Major Urban,0.0,Urban
3026,20,Major Urban,0.0,Urban
3027,20,Major Urban,0.0,Urban
3028,20,Major Urban,0.0,Urban
3029,20,Major Urban,0.0,Urban
3030,20,Major Urban,0.0,Urban
3031,20,Major Urban,0.0,Urban
3032,20,Major Urban,0.0,Urban
3033,20,Major Urban,0.0,Urban
3034,20,Major Urban,0.0,Urban
3036,20,Major Urban,0.0,Urban
3037,20,Major Urban,0.0,Urban
3038,20,Major Urban,0.0,Urban
3039,20,Major Urban,0.0,Urban
3040,20,Major Urban,0.0,Urban
3041,20,Major Urban,0.0,Urban
3042,20,Major Urban,0.0,Urban
3043,20,Major Urban,0.0,Urban
3044,20,Major Urban,0.0,Urban
3045,20,Major Urban,0.0,Urban
3046,20,Major Urban,0.0,Urban
3047,20,Major Urban,0.0,Urban
3048,20,Major Urban,0.0,Urban
